id_hecho;n_victimas;fecha;aaaa;mm;dd;hora;hh;direccion_normalizada;calle;altura;cruce;otra_direccion;comuna;tipo_de_calle;geocodificacion_caba;longitud;latitud;participantes;victima;contraparte;gravedad;tipo_de_dato
LC-2020-0275999;1;2020-06-03;2020;6;3;02:30:00 p.m.;14;CABILDO AV. y DEHEZA;CABILDO AV.;0;DEHEZA;SD;12;AVENIDA;Point (99037.3128433333 109733.120416515);-58.473786649139;-34.541530777721;BICICLETA-TRANSPORTE PUBLICO;BICICLETA;TRANSPORTE PUBLICO;SD;definitivo
LC-2020-0277209;1;2020-06-04;2020;6;4;12:30:00 a.m.;0;DE LOS CONSTITUYENTES AV. 6200;DE LOS CONSTITUYENTES AV.;6200;;SD;12;AVENIDA;Point (95900.7729246798 106477.112172794);-58.507971728771;-34.570874155818;MOTO-MOTO;MOTO;MOTO;SD;definitivo
LC-2020-0285023;1;2020-06-06;2020;6;6;13:50:00;13;SD;;;;SD;12;AUTOPISTA;Point (97243.939893 108974.059900);-58.493326;-34.54837;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0291320;1;2020-06-10;2020;6;10;01:00:00 p.m.;13;LARRALDE, CRISOLOGO AV. y GOYENECHE, ROBERTO PARQUE AV.;LARRALDE, CRISOLOGO AV.;0;GOYENECHE, ROBERTO PARQUE AV.;SD;12;AVENIDA;Point (97908.7934516514 107849.617507189);-58.486085388374;-34.558507885967;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0358867;1;2020-06-23;2020;6;23;11:45:00 a.m.;11;DE LOS CONSTITUYENTES AV. y PAZ, GRAL. AV.;DE LOS CONSTITUYENTES AV.;0;PAZ, GRAL. AV.;SD;12;AVENIDA;Point (95720.9483675134 106663.037560225);-58.509930461176;-34.56919739421;PEATON-SD;PEATON;SD;SD;definitivo
LC-2020-0368643;1;2020-06-26;2020;6;26;03:39:00 p.m.;15;SUPERI y PEDRAZA, MANUELA;SUPERI;0;PEDRAZA, MANUELA;SD;12;CALLE;Point (98843.2608088701 108032.861074066);-58.475903055386;-34.556857563935;BICICLETA-SD;BICICLETA;SD;SD;definitivo
LC-2020-0370643;1;2020-06-27;2020;6;27;09:00:00 p.m.;21;PAZ, GRAL. AV. 1106;PAZ, GRAL. AV.;1106;;SD;12;AV. GRAL. PAZ;Point (98881.7917817152 109950.246194029);-58.475480582617;-34.539573327957;AUTO-SD;AUTO;SD;SD;definitivo
LC-2020-0370380;1;2020-06-27;2020;6;27;10:22:00 a.m.;10;LARRALDE, CRISOLOGO AV. y GALVAN;LARRALDE, CRISOLOGO AV.;0;GALVAN;SD;12;AVENIDA;Point (97372.5288247393 107539.488568371);-58.491929571645;-34.561302280594;UTILITARIO-AUTO;UTILITARIO;AUTO;SD;definitivo
LC-2020-0390611;1;2020-07-03;2020;7;3;02:18:00 p.m.;14;PAZ, GRAL. AV. y VIDAL;PAZ, GRAL. AV.;0;VIDAL;SD;12;AV. GRAL. PAZ;Point (98693.6702439826 109871.787097337);-58.477530039390;-34.54028036728;AUTO-CAMION;AUTO;CAMION;SD;definitivo
LC-2020-0390170;1;2020-07-03;2020;7;3;11:00:00 a.m.;11;BALBIN, RICARDO, DR. AV. 3647;BALBIN, RICARDO, DR. AV.;3647;;SD;12;AVENIDA;Point (98339.6113470015 108162.944577609);-58.481390511624;-34.555684210151;PEATON-AUTO;PEATON;AUTO;SD;definitivo
LC-2020-0415054;1;2020-07-06;2020;7;6;01:48:00 p.m.;13;MONROE 5002;MONROE;5002;;SD;12;CALLE;Point (97974.2911115766 106132.38533361);-58.485375919305;-34.573987974600;PEATON-UTILITARIO;PEATON;UTILITARIO;SD;definitivo
LC-2020-0420275;1;2020-07-08;2020;7;8;03:40:00 p.m.;15;ALVAREZ THOMAS AV. y BLANCO ENCALADA;ALVAREZ THOMAS AV.;0;BLANCO ENCALADA;SD;12;AVENIDA;Point (98317.2700127759 106270.04651724);-58.481637804852;-34.572747669269;BICICLETA-SD;BICICLETA;SD;SD;definitivo
